,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,어린이보호구역
0,2.01701E+15,2017년 1월 1일 15시,일요일,경기도 파주시 당하동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,미분류 - 미분류,승용,남,42세,상해없음,보행자,남,2,부상신고,0
1,2.01701E+15,2017년 1월 2일 13시,월요일,경기도 과천시 별양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,보행자,남,7,경상,0
2,2.01701E+15,2017년 1월 3일 14시,화요일,경기도 화성시 송산면,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,69세,상해없음,보행자,여,10,경상,0
3,2.01701E+15,2017년 1월 4일 12시,수요일,경기도 용인시 처인구 양지면,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,보행자,남,12,경상,0
4,2.01701E+15,2017년 1월 4일 15시,수요일,경기도 의왕시 삼동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,47세,상해없음,보행자,남,9,중상,0
5,2.01701E+15,2017년 1월 4일 18시,수요일,경기도 광주시 오포읍,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,자전거,남,12,중상,0
6,2.01701E+15,2017년 1월 6일 13시,금요일,경기도 평택시 비전동,경상사고,0,0,1,0,차대차 - 정면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,43세,상해없음,자전거,남,12,경상,0
7,2.01701E+15,2017년 1월 6일 14시,금요일,경기도 시흥시 대야동,사망사고,1,0,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,자전거,남,12,사망,0
8,2.01701E+15,2017년 1월 6일 17시,금요일,경기도 의정부시 민락동,부상신고사고,0,0,0,1,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,여,12,부상신고,0
9,2.01701E+15,2017년 1월 6일 18시,금요일,경기도 파주시 다율동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,47세,상해없음,보행자,여,6,중상,0
10,2.01701E+15,2017년 1월 7일 08시,토요일,경기도 평택시 팽성읍,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,화물,남,55세,상해없음,보행자,남,10,경상,0
11,2.01701E+15,2017년 1월 7일 10시,토요일,경기도 김포시 양촌읍,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,55세,상해없음,보행자,남,12,중상,0
12,2.01701E+15,2017년 1월 7일 12시,토요일,경기도 안산시 상록구 본오동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,61세,상해없음,보행자,여,11,경상,0
13,2.01701E+15,2017년 1월 8일 15시,일요일,경기도 의왕시 내손동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,보행자,남,6,경상,0
14,2.01701E+15,2017년 1월 8일 16시,일요일,경기도 부천시 상동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,12세,상해없음,보행자,남,7,중상,0
15,2.01701E+15,2017년 1월 9일 12시,월요일,경기도 남양주시 다산동,부상신고사고,0,0,0,1,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,화물,남,48세,상해없음,보행자,여,8,부상신고,0
16,2.01701E+15,2017년 1월 10일 09시,화요일,경기도 시흥시 신천동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,보행자,여,11,경상,0
17,2.01701E+15,2017년 1월 10일 15시,화요일,경기도 양주시 고암동,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,보행자,남,7,중상,0
18,2.01701E+15,2017년 1월 10일 18시,화요일,경기도 고양시 일산동구 중산동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,72세,상해없음,보행자,남,10,경상,0
19,2.01701E+15,2017년 1월 11일 16시,수요일,경기도 용인시 수지구 상현동,부상신고사고,0,0,0,1,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,81세,상해없음,보행자,여,9,부상신고,0
20,2.01701E+15,2017년 1월 12일 15시,목요일,경기도 성남시 분당구 야탑동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,72세,상해없음,보행자,남,10,경상,0
21,2.01701E+15,2017년 1월 13일 10시,금요일,경기도 용인시 수지구 죽전동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,보행자,여,12,부상신고,0
22,2.01701E+15,2017년 1월 13일 11시,금요일,경기도 안산시 상록구 사동,경상사고,0,0,1,0,차대차 - 측면충돌,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,71세,상해없음,자전거,남,9,경상,0
23,2.01701E+15,2017년 1월 14일 16시,토요일,경기도 안산시 단원구 대부동동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,보행자,남,12,중상,0
24,2.01701E+15,2017년 1월 15일 18시,일요일,경기도 김포시 장기동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,48세,상해없음,보행자,남,12,중상,0
25,2.01701E+15,2017년 1월 15일 20시,일요일,경기도 화성시 동탄면,중상사고,0,1,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,35세,상해없음,보행자,여,7,중상,0
26,2.01701E+15,2017년 1월 17일 15시,화요일,경기도 광주시 역동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,66세,상해없음,보행자,남,7,경상,0
27,2.01701E+15,2017년 1월 17일 16시,화요일,경기도 성남시 중원구 성남동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,63세,상해없음,보행자,여,11,경상,0
28,2.01701E+15,2017년 1월 17일 18시,화요일,경기도 수원시 권선구 구운동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,남,7,중상,0
29,2.01701E+15,2017년 1월 18일 09시,수요일,경기도 군포시 금정동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,35세,상해없음,보행자,남,7,경상,0
30,2.01701E+15,2017년 1월 18일 09시,수요일,경기도 의왕시 삼동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,보행자,여,10,경상,0
