시군구,경도,위도,상해정도 정보,상해정도 갯수_x,상해정도 갯수_y
경기도 가평군 가평읍,127.506667167,37.824254721,경상: 7<br>중상: 2,7,7
경기도 가평군 북면,127.477707433,37.953505543,경상: 2<br>부상신고: 1<br>중상: 2,2,2
경기도 가평군 설악면,127.494964004,37.675368325,경상: 2,2,2
경기도 가평군 조종면,127.353240938,37.817484266,경상: 1<br>부상신고: 1,1,1
경기도 가평군 청평면,127.382398664,37.693011265,경상: 5<br>부상신고: 2<br>중상: 2,2,2
경기도 고양시 덕양구 고양동,126.899268487,37.70072271,경상: 11<br>중상: 6,2,2
경기도 고양시 덕양구 관산동,126.866420482,37.688323087,경상: 2<br>중상: 1,1,1
경기도 고양시 덕양구 내유동,126.858510539,37.721395634,경상: 3<br>중상: 1,1,1
경기도 고양시 덕양구 대자동,126.870940944,37.715012511,경상: 1,5,5
경기도 고양시 덕양구 대장동,126.812542829,37.63638365,부상신고: 1,2,2
경기도 고양시 덕양구 도내동,126.863205971,37.618072396,경상: 7<br>부상신고: 1<br>중상: 5,2,2
경기도 고양시 덕양구 동산동,126.899332448,37.646627966,경상: 3<br>중상: 1,11,11
경기도 고양시 덕양구 벽제동,126.905960791,37.724483488,경상: 1,6,6
경기도 고양시 덕양구 삼송동,126.893766654,37.652575387,경상: 4<br>부상신고: 1,2,2
경기도 고양시 덕양구 성사동,126.840160749,37.653969296,경상: 10<br>중상: 1,1,1
경기도 고양시 덕양구 신원동,126.875835398,37.677388303,경상: 7<br>부상신고: 1<br>중상: 2,3,3
경기도 고양시 덕양구 오금동,126.920632464,37.664067771,경상: 2,1,1
경기도 고양시 덕양구 용두동,126.887423092,37.628280864,경상: 1,1,1
경기도 고양시 덕양구 원흥동,126.870086333,37.649776166,경상: 1<br>중상: 1,1,1
경기도 고양시 덕양구 주교동,126.837048436,37.65769445,경상: 6<br>부상신고: 2<br>중상: 2,7,7
경기도 고양시 덕양구 토당동,126.824027852,37.626123302,경상: 8<br>중상: 3,1,1
경기도 고양시 덕양구 행신동,126.83146218,37.61971809,경상: 26<br>부상신고: 6<br>중상: 6,5,5
경기도 고양시 덕양구 행주내동,126.830348935,37.600290344,경상: 1,3,3
경기도 고양시 덕양구 향동동,126.890878135,37.599416445,경상: 2,1,1
경기도 고양시 덕양구 현천동,126.869778684,37.592257013,경상: 1,1,1
경기도 고양시 덕양구 화전동,126.872618993,37.600053687,부상신고: 1,4,4
경기도 고양시 덕양구 화정동,126.836760821,37.638139628,경상: 14<br>부상신고: 4<br>중상: 6,1,1
경기도 고양시 일산동구 마두동,126.785849386,37.664864013,경상: 5<br>부상신고: 2<br>중상: 2,10,10
경기도 고양시 일산동구 문봉동,126.827196365,37.701901283,경상: 2,1,1
경기도 고양시 일산동구 백석동,126.785526721,37.645870523,경상: 14<br>부상신고: 6<br>중상: 8,7,7
경기도 고양시 일산동구 사리현동,126.839177268,37.69566051,경상: 3,1,1
경기도 고양시 일산동구 성석동,126.810565126,37.691339616,경상: 1,2,2
경기도 고양시 일산동구 식사동,126.822099225,37.686628778,경상: 14<br>부상신고: 2<br>중상: 2,2,2
경기도 고양시 일산동구 장항동,126.773136813,37.656705918,경상: 6<br>부상신고: 4,1,1
경기도 고양시 일산동구 정발산동,126.779829804,37.672451345,경상: 9<br>중상: 1,1,1
경기도 고양시 일산동구 중산동,126.778476344,37.682462523,경상: 12<br>중상: 6,1,1
경기도 고양시 일산동구 지영동,126.83793196,37.712276561,경상: 1,6,6
경기도 고양시 일산동구 풍동,126.801454593,37.660963382,경상: 4<br>중상: 1,2,2
경기도 고양시 일산서구 가좌동,126.716539262,37.698961782,경상: 7<br>부상신고: 1<br>중상: 1,2,2
경기도 고양시 일산서구 대화동,126.735236092,37.67061204,경상: 7<br>부상신고: 4<br>중상: 2,8,8
경기도 고양시 일산서구 덕이동,126.758947338,37.693287533,경상: 9<br>부상신고: 1<br>중상: 2,3,3
경기도 고양시 일산서구 일산동,126.764425376,37.684947457,경상: 21<br>부상신고: 5<br>중상: 10,26,26
경기도 고양시 일산서구 주엽동,126.762798843,37.669037301,경상: 13<br>부상신고: 7<br>중상: 4,6,6
경기도 고양시 일산서구 탄현동,126.768395529,37.694334879,경상: 11<br>부상신고: 2<br>중상: 5,6,6
경기도 과천시 과천동,127.00983877,37.44719661,중상: 2,1,1
경기도 과천시 막계동,127.00343424,37.433924743,중상: 1,2,2
경기도 과천시 문원동,127.003408035,37.428882601,경상: 3<br>부상신고: 1,1,1
경기도 과천시 별양동,126.994243455,37.424304474,경상: 7<br>부상신고: 1<br>중상: 1,1,1
경기도 과천시 원문동,126.989665307,37.4214383,경상: 1<br>중상: 1,14,14
경기도 과천시 중앙동,126.986976922,37.42978497,경상: 2<br>부상신고: 1<br>중상: 1,4,4
경기도 광명시 가학동,126.862391321,37.413685145,경상: 1,6,6
경기도 광명시 광명동,126.849810865,37.469037855,경상: 25<br>부상신고: 6<br>중상: 2,5,5
경기도 광명시 소하동,126.885078875,37.44874268,경상: 12<br>부상신고: 8<br>사망: 1<br>중상: 3,2,2
경기도 광명시 일직동,126.884867886,37.416344374,경상: 1<br>부상신고: 3<br>중상: 2,2,2
경기도 광명시 철산동,126.865199679,37.471496322,경상: 7<br>부상신고: 9<br>중상: 8,2,2
경기도 광명시 하안동,126.861074276,37.453973169,경상: 10<br>부상신고: 8<br>중상: 3,14,14
경기도 광주시 경안동,127.249303871,37.407120908,경상: 8<br>부상신고: 2<br>중상: 5,6,6
경기도 광주시 곤지암읍,127.352365833,37.350916125,경상: 7<br>중상: 2,8,8
경기도 광주시 남한산성면,127.24466428,37.463326949,경상: 1,3,3
경기도 광주시 도척면,127.33125898,37.304661231,경상: 1<br>중상: 2,1,1
경기도 광주시 목현동,127.231868345,37.436750702,경상: 1<br>부상신고: 1,14,14
경기도 광주시 송정동,127.258575056,37.415460857,경상: 8<br>부상신고: 1<br>중상: 3,2,2
경기도 광주시 쌍령동,127.269725254,37.404982445,경상: 8<br>중상: 5,2,2
경기도 광주시 역동,127.255674591,37.402747071,경상: 4<br>부상신고: 2<br>중상: 1,6,6
경기도 광주시 오포읍,0.0,0.0,경상: 33<br>부상신고: 2<br>중상: 17,4,4
경기도 광주시 장지동,127.237678377,37.399823682,경상: 6<br>중상: 3,9,9
경기도 광주시 중대동,127.204530097,37.408254072,부상신고: 1<br>중상: 1,1,1
경기도 광주시 초월읍,127.2900248,37.390163316,경상: 3<br>부상신고: 1<br>중상: 4,12,12
경기도 광주시 탄벌동,127.248748679,37.416436001,경상: 9<br>부상신고: 2<br>중상: 7,6,6
경기도 광주시 태전동,127.234459156,37.384482588,경상: 14<br>부상신고: 4<br>중상: 2,1,1
경기도 광주시 퇴촌면,127.307065598,37.466682472,경상: 10<br>중상: 3,4,4
경기도 광주시 회덕동,127.245679803,37.42673689,경상: 5,1,1
경기도 구리시 갈매동,127.12026598,37.640044017,경상: 7<br>부상신고: 1<br>중상: 3,7,7
경기도 구리시 교문동,127.128960996,37.595220456,경상: 7<br>부상신고: 4<br>사망: 1<br>중상: 2,1,1
경기도 구리시 수택동,127.147630257,37.595440608,경상: 16<br>중상: 2,1,1
경기도 구리시 인창동,127.141799887,37.603794355,경상: 15<br>부상신고: 2<br>중상: 5,7,7
경기도 구리시 토평동,127.14542395,37.590731671,경상: 3<br>중상: 1,4,4
경기도 군포시 금정동,126.929541487,37.351034771,경상: 15<br>부상신고: 1<br>중상: 6,2,2
경기도 군포시 당동,126.942569678,37.352034537,경상: 16<br>부상신고: 3<br>중상: 8,9,9
경기도 군포시 당정동,126.951293108,37.34425951,경상: 2<br>중상: 5,1,1
경기도 군포시 대야미동,126.915930386,37.329641249,경상: 1,2,2
경기도 군포시 도마교동,126.915515198,37.31446481,경상: 2<br>중상: 1,21,21
경기도 군포시 둔대동,126.914595953,37.328540237,경상: 2<br>중상: 1,5,5
경기도 군포시 부곡동,126.935658568,37.324101581,경상: 5<br>중상: 1,10,10
경기도 군포시 산본동,126.939783592,37.373705836,경상: 18<br>부상신고: 3<br>중상: 11,13,13
경기도 김포시 감정동,126.700109593,37.623188163,경상: 9<br>중상: 5,7,7
경기도 김포시 걸포동,126.711417555,37.631395834,경상: 7<br>부상신고: 1<br>중상: 2,4,4
경기도 김포시 고촌읍,126.771020305,37.603295404,경상: 12<br>부상신고: 1<br>중상: 1,11,11
경기도 김포시 구래동,126.623680109,37.646492251,경상: 18<br>부상신고: 1<br>중상: 5,2,2
경기도 김포시 대곶면,126.581898854,37.64908739,경상: 3<br>중상: 2,5,5
경기도 김포시 마산동,126.649429083,37.640887441,경상: 3<br>부상신고: 5<br>중상: 1,2,2
경기도 김포시 북변동,126.72020436,37.625552181,경상: 3<br>부상신고: 3,1,1
경기도 김포시 사우동,126.711730001,37.620916183,경상: 4<br>중상: 2,3,3
경기도 김포시 양촌읍,126.601307917,37.619370145,경상: 8<br>중상: 4,1,1
경기도 김포시 운양동,126.700928533,37.64684744,경상: 12<br>부상신고: 2<br>중상: 7,7,7
경기도 김포시 장기동,126.671712185,37.652301413,경상: 24<br>부상신고: 3<br>사망: 1<br>중상: 12,1,1
