사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020010300100617,2020년 1월 3일 23시,금요일,경기도 고양시 일산동구 정발산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,63세,상해없음,이륜,여,51세,경상
2020010800100407,2020년 1월 8일 17시,수요일,경기도 용인시 수지구 죽전동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,여,10세,중상
2020011000100510,2020년 1월 10일 19시,금요일,경기도 용인시 처인구 고림동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,승용,남,21세,상해없음,이륜,남,39세,경상
2020011100100256,2020년 1월 11일 13시,토요일,경기도 김포시 풍무동,중상사고,0,1,4,0,차대차 - 추돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,여,53세,중상,승용,남,49세,경상
2020011500100200,2020년 1월 15일 11시,수요일,경기도 양주시 광적면,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,36세,상해없음,화물,남,53세,경상
2020011500100395,2020년 1월 15일 17시,수요일,경기도 군포시 금정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,56세,상해없음,보행자,여,12세,경상
2020011600100490,2020년 1월 16일 18시,목요일,경기도 고양시 일산서구 탄현동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,30세,상해없음,이륜,남,24세,중상
2020011800100084,2020년 1월 18일 06시,토요일,경기도 양주시 고암동,중상사고,0,1,0,0,차대사람 - 보도통행중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,31세,상해없음,보행자,여,45세,중상
2020012200100180,2020년 1월 22일 10시,수요일,경기도 남양주시 퇴계원면,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,40세,상해없음,보행자,여,8세,경상
2020012600100254,2020년 1월 26일 19시,일요일,경기도 시흥시 월곶동,중상사고,0,2,1,0,차대차 - 정면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,49세,경상,승용,남,30세,중상
2020013000100236,2020년 1월 30일 12시,목요일,경기도 성남시 수정구 창곡동,경상사고,0,0,1,0,차대차 - 추돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,52세,상해없음,이륜,남,17세,경상
2020013000100397,2020년 1월 30일 16시,목요일,경기도 고양시 일산서구 주엽동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,34세,상해없음,보행자,남,8세,경상
2020020100100394,2020년 2월 1일 20시,토요일,경기도 성남시 수정구 태평동,중상사고,0,1,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,이륜,남,49세,중상
2020020300100270,2020년 2월 3일 13시,월요일,경기도 이천시 증포동,경상사고,0,0,1,0,차대사람 - 차도통행중,기타,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,보행자,남,7세,경상
2020020500100127,2020년 2월 5일 08시,수요일,경기도 양주시 고암동,경상사고,0,0,2,0,차대차 - 측면충돌,직진우회전진행방해,적설,맑음,교차로 - 교차로안,승용,여,65세,경상,승용,여,43세,경상
2020020500100392,2020년 2월 5일 16시,수요일,경기도 용인시 기흥구 언남동,부상신고사고,0,0,0,1,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승합,남,51세,상해없음,보행자,남,3세,부상신고
2020020500100520,2020년 2월 5일 19시,수요일,경기도 수원시 장안구 영화동,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,25세,상해없음,이륜,남,24세,경상
2020020800100306,2020년 2월 8일 15시,토요일,경기도 성남시 수정구 태평동,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,27세,상해없음,보행자,여,10세,경상
2020020900100341,2020년 2월 9일 19시,일요일,경기도 안산시 단원구 와동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,29세,상해없음,보행자,여,49세,경상
2020020900100406,2020년 2월 9일 21시,일요일,경기도 안산시 단원구 선부동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,건조,맑음,교차로 - 교차로부근,승용,여,41세,상해없음,자전거,여,57세,경상
2020021100100137,2020년 2월 11일 09시,화요일,경기도 오산시 수청동,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승합,여,58세,경상,,,,
2020021400100252,2020년 2월 14일 13시,금요일,경기도 안산시 단원구 선부동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,화물,남,50세,상해없음,보행자,여,9세,경상
2020021500100373,2020년 2월 15일 17시,토요일,경기도 부천시 원미동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,69세,상해없음,보행자,여,51세,중상
