사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020010100100140,2020년 1월 1일 11시,수요일,경기도 안산시 단원구 대부북동,경상사고,0,0,4,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,남,43세,경상
2020010100100203,2020년 1월 1일 15시,수요일,경기도 안산시 단원구 신길동,경상사고,0,0,3,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,35세,상해없음,승용,남,37세,경상
2020010100100255,2020년 1월 1일 17시,수요일,경기도 의정부시 녹양동,중상사고,0,5,5,0,차대차 - 정면충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,승합,남,28세,상해없음,승용,남,29세,중상
2020010100100265,2020년 1월 1일 18시,수요일,경기도 이천시 신둔면,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,72세,상해없음,보행자,남,7세,중상
2020010100100353,2020년 1월 1일 22시,수요일,경기도 남양주시 별내동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,74세,상해없음,승용,여,39세,경상
2020010200100019,2020년 1월 2일 03시,목요일,경기도 화성시 봉담읍,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,화물,남,59세,상해없음,보행자,남,9세,경상
2020010200100107,2020년 1월 2일 08시,목요일,경기도 남양주시 퇴계원면,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,47세,상해없음,보행자,여,7세,경상
2020010200100225,2020년 1월 2일 13시,목요일,경기도 용인시 기흥구 상갈동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,여,21세,상해없음
2020010200100276,2020년 1월 2일 15시,목요일,경기도 안성시 석정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,보행자,여,10세,경상
2020010200100278,2020년 1월 2일 15시,목요일,경기도 부천시 심곡동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로부근,승용,여,23세,상해없음,보행자,남,7세,경상
