,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
0,2020010200100276,2020년 1월 2일 15시,목요일,경기도 안성시 석정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,보행자,여,10세,경상
1,2020010500100156,2020년 1월 5일 12시,일요일,경기도 용인시 기흥구 청덕동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,남,12세,부상신고
2,2020010600100091,2020년 1월 6일 08시,월요일,경기도 부천시 춘의동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,51세,상해없음,보행자,남,12세,경상
3,2020010700100340,2020년 1월 7일 15시,화요일,경기도 시흥시 은행동,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,여,74세,상해없음,보행자,여,12세,중상
4,2020010800100401,2020년 1월 8일 17시,수요일,경기도 안산시 단원구 선부동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,보행자,남,12세,중상
6,2020010900100238,2020년 1월 9일 13시,목요일,경기도 의정부시 신곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,여,11세,경상
7,2020011000100103,2020년 1월 10일 08시,금요일,경기도 성남시 중원구 상대원동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,화물,남,65세,상해없음,보행자,남,10세,경상
8,2020011200100211,2020년 1월 12일 15시,일요일,경기도 성남시 수정구 창곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,25세,상해없음,자전거,남,11세,경상
9,2020011200100213,2020년 1월 12일 15시,일요일,경기도 부천시 중동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,자전거,남,12세,경상
10,2020011300100253,2020년 1월 13일 14시,월요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,원동기,남,31세,상해없음,보행자,여,12세,경상
11,2020011400100195,2020년 1월 14일 11시,화요일,경기도 안성시 인지동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,58세,상해없음,보행자,여,12세,중상
12,2020011400100374,2020년 1월 14일 16시,화요일,경기도 시흥시 대야동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승합,남,31세,상해없음,보행자,남,11세,경상
14,2020011500100545,2020년 1월 15일 20시,수요일,경기도 안성시 공도읍,부상신고사고,0,0,0,1,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,43세,상해없음,보행자,남,10세,부상신고
15,2020011600100505,2020년 1월 16일 19시,목요일,경기도 안산시 단원구 선부동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,남,11세,경상
16,2020012000100142,2020년 1월 20일 09시,월요일,경기도 성남시 수정구 복정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,남,11세,경상
17,2020012000100432,2020년 1월 20일 16시,월요일,경기도 안양시 동안구 평촌동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,50세,상해없음,보행자,남,10세,경상
18,2020012000100473,2020년 1월 20일 17시,월요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,36세,상해없음,자전거,남,11세,경상
19,2020012300100618,2020년 1월 23일 19시,목요일,경기도 광명시 하안동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,건조,맑음,기타 - 기타,이륜,남,25세,상해없음,보행자,남,10세,중상
20,2020012300100621,2020년 1월 23일 19시,목요일,경기도 시흥시 신천동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,57세,상해없음,보행자,여,11세,경상
21,2020012700100233,2020년 1월 27일 16시,월요일,경기도 오산시 원동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,젖음/습기,비,단일로 - 기타,승용,남,49세,상해없음,보행자,여,11세,중상
22,2020020200100131,2020년 2월 2일 10시,일요일,경기도 동두천시 지행동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,36세,기타불명,보행자,남,10세,부상신고
23,2020020200100327,2020년 2월 2일 19시,일요일,경기도 안산시 상록구 사동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,61세,상해없음,보행자,여,10세,경상
24,2020020700100351,2020년 2월 7일 15시,금요일,경기도 시흥시 신천동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,69세,상해없음,보행자,남,11세,중상
26,2020021700100320,2020년 2월 17일 14시,월요일,경기도 이천시 갈산동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,35세,상해없음,보행자,여,12세,경상
27,2020021700100322,2020년 2월 17일 14시,월요일,경기도 부천시 상동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,54세,상해없음,보행자,남,10세,중상
28,2020021800100359,2020년 2월 18일 14시,화요일,경기도 동두천시 상패동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,여,53세,상해없음,자전거,남,10세,경상
30,2020022100100247,2020년 2월 21일 11시,금요일,경기도 고양시 일산동구 정발산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,흐림,교차로 - 교차로안,승용,여,49세,상해없음,자전거,남,10세,경상
31,2020022100100353,2020년 2월 21일 15시,금요일,경기도 용인시 기흥구 언남동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,승용,남,46세,상해없음,보행자,여,11세,경상
32,2020031900100130,2020년 3월 19일 11시,목요일,경기도 용인시 처인구 모현읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,보행자,여,10세,경상
33,2020032100100351,2020년 3월 21일 16시,토요일,경기도 성남시 중원구 성남동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,76세,상해없음,자전거,여,10세,부상신고
